indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0077,,Indians and Environmentalists,Rich Wandschneider,2016-11-08,"Blog entry from November 8, 2016",Kinzua dam;Seneca;Garrison Dam;Sierra Club;Alvin Josephy;Standing Rock;Friends of the Earth;Cornplanter;David Brower;Pyramid Lake,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/this-before-election-results-are-in.html,record,url,eng,,
josephy0078,,Listening to Indians,Rich Wandschneider,2016-11-07,"Blog entry from November 7, 2016",Civil Rights Act of 1964;President Johnson;Justice Marshall;Boldt decision;limited sovereignty,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/11/listening-to-indians.html,record,url,eng,,
josephy0079,,Standing Rock and Malheur,Rich Wandschneider,2016-10-29,"Blog entry from October 29, 2016",Bundy;Alvin Josephy;Bismarck;Standing Rock;Malheur;Access pipeline,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/standing-rock-and-malheur.html,record,url,eng,,
josephy0080,,"Indians on historical, political sidelines",Rich Wandschneider,2016-10-26,"Blog entry from October 26, 2016",Energy Transfer;Missouri River;North Dakota pipeline;Violence Against Women Act;Standing Rock,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/indians-on-historical-political.html,record,url,eng,,
josephy0081,,What about Indians?,Rich Wandschneider,2016-10-13,"Blog entry from October 13, 2016",Columbian Exchange;Civil Rights;Indian slavery;encominedas;Indian vote;Latino;President Obama;Treaty Rights,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/what-about-indians.html,record,url,eng,,
josephy0082,,Water,Rich Wandschneider,2016-10-04,"Blog entry from October 4, 2016",Weed;Mt. Shasta;Roseburg Forest Products;Winnemem Wintu;Standing Rock;Crystal Geyser;California,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/10/water.html,record,url,eng,,
josephy0083,,It's the Water,Rich Wandschneider,2016-09-12,"Blog entry from September 12, 2016",Umatilla first foods;Standing Rock;Wallowa Lake;Alaskan whale oil;Columbia River;fur trade;North Dakota protest,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/09/its-water.html,record,url,eng,,
josephy0084,,Indians—and many Mexicans—were here first,Rich Wandschneider,2016-09-01,"Blog entry from September 1, 2016",Colorado;Mexican;Treaty of Guadalupe Hidalgo;joint occupancy;Mestizo;Oregon Country;California,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/09/indiansand-many-mexicanswere-here-first.html,record,url,eng,,
josephy0085,,The milpa: more to learn from Indians,Rich Wandschneider,2016-08-24,"Blog entry from August 24, 2016",Charles Mann;Indigenous cuisine;Sean Sherman;Squanto;Tisquantum;milpa,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/the-milpa-more-to-learn-from-indians.html,record,url,eng,,
josephy0086,,Canoe People,Rich Wandschneider,2016-08-16,"Blog entry from August 16, 2016",dugout canoe;Nez Perce National Historical Park;plateau tribes;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/canoe-people.html,record,url,eng,,
josephy0087,,Nez Perce Return,Rich Wandschneider,2016-08-02,"Blog entry from August 2, 2016",Tamkaliks;Lapwai;Nez Perce Tribe;Long house;Colville tribes;Wallowa;Nez Perce;longhouse;Umatilla Confederated Tribes,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/08/nez-perce-return.html,record,url,eng,,
josephy0088,,Sebastian Junger—You missed something else,Rich Wandschneider,2016-07-21,"Blog entry from July 21, 2016",catholic ritual;powwow;protestant missionaries;Tribe: On Homecoming[ PTSD;Sebastian Junger,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2016/07/sebastian-jungeryou-missed-something.html,record,url,eng,,
